x=   44 y= 167 step= -3 B3  s=0.80
x=  151 y=  96 step=  8 F5  s=0.88
x=  201 y=  91 step=  9 G5  s=0.86
x=  252 y=  83 step= 10 A5  s=0.91
x=  302 y=  96 step=  8 F5  s=0.84
x=  352 y=  91 step=  9 G5  s=0.84
x=  402 y=  84 step= 10 A5  s=0.85
x=  502 y=  91 step=  9 G5  s=0.82
x=  520 y= 137 step=  1 F4  s=0.83
x=  601 y=  77 step= 11 B5  s=0.86
x=  702 y=  84 step= 10 A5  s=0.88
x=  752 y=  95 step=  8 F5  s=0.88
x=  784 y= 125 step=  3 A4  s=0.85
x=  801 y= 109 step=  6 D5  s=0.86
x=  853 y=  83 step= 10 A5  s=0.88
x=  867 y= 108 step=  6 D5  s=0.85
x=  902 y=  96 step=  8 F5  s=0.82
x=  935 y= 125 step=  3 A4  s=0.89
x=  952 y= 109 step=  6 D5  s=0.85
overlay: analysis/p077_s00_heads.png spacing=12.5 lines=[96, 108, 121, 133, 146]
